engine_id,engine_name,engine_platforms,engines_companies
1302,SGDK,undefined,undefined
402,Cocos2d-x,undefined,undefined
80,HydroEngine,undefined,undefined
199,Macromedia Director 2.0,undefined,undefined
191,VR-6,undefined,undefined
272,KiriKiri,undefined,undefined
460,Stratagus,undefined,undefined
1320,TBH Game Engine,undefined,undefined
745,Origin FX,undefined,undefined
1344,Piskel,undefined,undefined
774,Mohawk,undefined,undefined
841,C0var1ant RPG Engine,undefined,undefined
904,After Dark,undefined,undefined
1366,RobustToolbox,undefined,undefined
700,Defold,undefined,undefined
55,Euphoria Engine,6;9;12;34;39;48;49;,3405;
1214,ADE-6291,undefined,undefined
1181,Linguini Engine,undefined,undefined
1143,Tesseract,undefined,undefined
693,Cordova,undefined,undefined
1058,Capcom Sports Club Engine,undefined,undefined
61,LithTech,undefined,407;
883,Aseprite,undefined,undefined
282,RENA,6;,1696;
73,Babel engine,undefined,undefined
94,FaceGen,undefined,undefined
1204,QuakeWorld,undefined,undefined
1039,Object Locative Environment Coordinate System,undefined,undefined
479,Black Desert Engine,6;,2746;
492,StoryForge,6;48;49;,12931;
100,Nod Engine,undefined,undefined
1216,Immortal Engine,undefined,undefined
140,Ecstasy Engine,undefined,undefined
164,MacVenture,undefined,undefined
165,Gold Box,undefined,undefined
192,MassTech,undefined,undefined
194,isiMotor2,undefined,undefined
197,Enforce,undefined,undefined
250,Beelzebub,undefined,undefined
359,BlitzMax,undefined,undefined
364,Argon,undefined,undefined
387,Praxis,undefined,undefined
393,Sephius Engine,undefined,undefined
396,BattleCore,undefined,undefined
1197,react,undefined,undefined
291,CANVAS Engine,32;,undefined
353,BRender,undefined,undefined
743,Veloren Engine,undefined,undefined
822,Artemis Engine,undefined,undefined
444,Leadwerks,6;,undefined
1111,Chowdren,undefined,undefined
115,Video Reality,6;,1327;
1103,Custom C++ Backend,undefined,undefined
1140,Chess Engine,undefined,undefined
398,Chess Engine: The King,undefined,undefined
399,Qt,undefined,undefined
405,Tease2D,undefined,undefined
417,NVLMaker,undefined,undefined
463,super fx,undefined,undefined
28,Infinity Engine,6;14;,2;
1286,Super Contra,undefined,undefined
767,Frostbite 2,undefined,undefined
